"","Upper_cm","Lower_cm","lat","long","ID","site","tillage","rot","BD_g_cm3","SOC_pct","SOM_pct","Rep"
"1",0,15,42.816667,-93.283333,"Kanawha_corn-soybean","Kanawha","CT","corn-soybean",1.05,2.882539683,5.476825397,1
"2",0,15,42.816667,-93.283333,"Kanawha_corn-corn-oat/alfalfa-alfalfa","Kanawha","CT","corn-corn-oat/alfalfa-alfalfa",0.99,3.548821549,6.742760943,1
"3",15,30,42.816667,-93.283333,"Kanawha_corn-soybean","Kanawha","CT","corn-soybean",1.13,2.377581121,4.51740413,1
"4",15,30,42.816667,-93.283333,"Kanawha_corn-corn-oat/alfalfa-alfalfa","Kanawha","CT","corn-corn-oat/alfalfa-alfalfa",1.1,2.854545455,5.423636364,1
"5",30,60,42.816667,-93.283333,"Kanawha_corn-soybean","Kanawha","CT","corn-soybean",1.2,1.055555556,2.005555556,1
"6",30,60,42.816667,-93.283333,"Kanawha_corn-corn-oat/alfalfa-alfalfa","Kanawha","CT","corn-corn-oat/alfalfa-alfalfa",1.17,1.233618234,2.343874644,1
"7",60,90,42.816667,-93.283333,"Kanawha_corn-soybean","Kanawha","CT","corn-soybean",1.38,0.40821256,0.775603865,1
"8",60,90,42.816667,-93.283333,"Kanawha_corn-corn-oat/alfalfa-alfalfa","Kanawha","CT","corn-corn-oat/alfalfa-alfalfa",1.27,0.543307087,1.032283465,1
"9",0,15,42.983333,-92.9,"Nashua_corn-soybean","Nashua","RT","corn-soybean",1.22,1.743169399,3.312021858,1
"10",0,15,42.983333,-92.9,"Nashua_corn-corn-oat/alfalfa-alfalfa","Nashua","RT","corn-corn-oat/alfalfa-alfalfa",1.21,2,3.8,1
"11",15,30,42.983333,-92.9,"Nashua_corn-soybean","Nashua","RT","corn-soybean",1.38,1.333333333,2.533333333,1
"12",15,30,42.983333,-92.9,"Nashua_corn-corn-oat/alfalfa-alfalfa","Nashua","RT","corn-corn-oat/alfalfa-alfalfa",1.29,1.49870801,2.84754522,1
"13",30,60,42.983333,-92.9,"Nashua_corn-soybean","Nashua","RT","corn-soybean",1.37,0.549878345,1.044768856,1
"14",30,60,42.983333,-92.9,"Nashua_corn-corn-oat/alfalfa-alfalfa","Nashua","RT","corn-corn-oat/alfalfa-alfalfa",1.37,0.613138686,1.164963504,1
"15",60,90,42.983333,-92.9,"Nashua_corn-soybean","Nashua","RT","corn-soybean",1.52,0.276315789,0.525,1
"16",60,90,42.983333,-92.9,"Nashua_corn-corn-oat/alfalfa-alfalfa","Nashua","RT","corn-corn-oat/alfalfa-alfalfa",1.5,0.304444444,0.578444444,1
