,prof,Rotation,tillage,BD_g_cm3,SOC_pct,Upper_cm,Lower_cm,SOM_pct,ID,Ref_ID
0,0-7.5,CC,CT,1.41,1.15,0.0,7.5,2.1849999999999996,CC_CT_t1,CC_CT_t1
1,0-7.5,CC,MT,1.49,1.04,0.0,7.5,1.976,CC_MT_t1,CC_MT_t1
2,0-7.5,CC,NT,1.95,1.8,0.0,7.5,3.42,CC_NT_t1,CC_NT_t1
3,7.5-15.0,CC,CT,1.6600000000000001,1.16,7.5,15.0,2.2039999999999997,CC_CT_t1,CC_CT_t1
4,7.5-15.0,CC,MT,1.84,1.04,7.5,15.0,1.976,CC_MT_t1,CC_MT_t1
5,7.5-15.0,CC,NT,2.22,1.13,7.5,15.0,2.147,CC_NT_t1,CC_NT_t1
6,15.0-22.5,CC,CT,1.59,1.0,15.0,22.5,1.9,CC_CT_t1,CC_CT_t1
7,15.0-22.5,CC,MT,1.87,0.84,15.0,22.5,1.5959999999999999,CC_MT_t1,CC_MT_t1
8,15.0-22.5,CC,NT,1.68,0.84,15.0,22.5,1.5959999999999999,CC_NT_t1,CC_NT_t1
9,22.5-30.0,CC,CT,1.19,0.38,22.5,30.0,0.722,CC_CT_t1,CC_CT_t1
10,22.5-30.0,CC,MT,1.48,0.45,22.5,30.0,0.855,CC_MT_t1,CC_MT_t1
11,22.5-30.0,CC,NT,1.1400000000000001,0.42,22.5,30.0,0.7979999999999999,CC_NT_t1,CC_NT_t1
12,0-7.5,CS,CT,1.6300000000000001,0.9,0.0,7.5,1.71,CS_CT_t1,CS_CT_t1
13,0-7.5,CS,MT,1.74,0.95,0.0,7.5,1.805,CS_MT_t1,CS_MT_t1
14,0-7.5,CS,NT,2.16,1.53,0.0,7.5,2.907,CS_NT_t1,CS_NT_t1
15,7.5-15.0,CS,CT,1.52,0.92,7.5,15.0,1.748,CS_CT_t1,CS_CT_t1
16,7.5-15.0,CS,MT,1.53,0.92,7.5,15.0,1.748,CS_MT_t1,CS_MT_t1
17,7.5-15.0,CS,NT,2.31,1.08,7.5,15.0,2.052,CS_NT_t1,CS_NT_t1
18,15.0-22.5,CS,CT,1.36,0.68,15.0,22.5,1.292,CS_CT_t1,CS_CT_t1
19,15.0-22.5,CS,MT,1.24,0.82,15.0,22.5,1.5579999999999998,CS_MT_t1,CS_MT_t1
20,15.0-22.5,CS,NT,1.54,0.76,15.0,22.5,1.444,CS_NT_t1,CS_NT_t1
21,22.5-30.0,CS,CT,1.19,0.33,22.5,30.0,0.627,CS_CT_t1,CS_CT_t1
22,22.5-30.0,CS,MT,0.66,0.32,22.5,30.0,0.608,CS_MT_t1,CS_MT_t1
23,22.5-30.0,CS,NT,1.04,0.3,22.5,30.0,0.57,CS_NT_t1,CS_NT_t1
24,0-7.5,COM,CT,2.2,1.32,0.0,7.5,2.508,COM_CT_t1,COM_CT_t1
25,0-7.5,COM,MT,2.24,1.31,0.0,7.5,2.489,COM_MT_t1,COM_MT_t1
26,0-7.5,COM,NT,2.49,2.01,0.0,7.5,3.8189999999999995,COM_NT_t1,COM_NT_t1
27,7.5-15.0,COM,CT,2.19,1.37,7.5,15.0,2.603,COM_CT_t1,COM_CT_t1
28,7.5-15.0,COM,MT,2.57,1.34,7.5,15.0,2.546,COM_MT_t1,COM_MT_t1
29,7.5-15.0,COM,NT,2.15,1.1,7.5,15.0,2.09,COM_NT_t1,COM_NT_t1
30,15.0-22.5,COM,CT,1.82,0.93,15.0,22.5,1.767,COM_CT_t1,COM_CT_t1
31,15.0-22.5,COM,MT,1.92,1.02,15.0,22.5,1.938,COM_MT_t1,COM_MT_t1
32,15.0-22.5,COM,NT,1.97,0.87,15.0,22.5,1.653,COM_NT_t1,COM_NT_t1
33,22.5-30.0,COM,CT,0.96,0.39,22.5,30.0,0.741,COM_CT_t1,COM_CT_t1
34,22.5-30.0,COM,MT,1.16,0.39,22.5,30.0,0.741,COM_MT_t1,COM_MT_t1
35,22.5-30.0,COM,NT,1.1,0.37,22.5,30.0,0.703,COM_NT_t1,COM_NT_t1
0,0-5,CC,CT,1.2,1.28,0.0,5.0,2.432,CC_CT,CC_CT_t1
1,0-5,CC,MT,1.34,1.36,0.0,5.0,2.584,CC_MT,CC_MT_t1
2,0-5,CC,NT,1.38,2.16,0.0,5.0,4.104,CC_NT,CC_NT_t1
3,5-10,CC,CT,1.08,1.48,5.0,10.0,2.812,CC_CT,CC_CT_t1
4,5-10,CC,MT,1.11,1.37,5.0,10.0,2.603,CC_MT,CC_MT_t1
5,5-10,CC,NT,1.28,1.55,5.0,10.0,2.945,CC_NT,CC_NT_t1
6,10-15,CC,CT,1.33,1.51,10.0,15.0,2.869,CC_CT,CC_CT_t1
7,10-15,CC,MT,1.26,1.35,10.0,15.0,2.565,CC_MT,CC_MT_t1
8,10-15,CC,NT,1.29,1.38,10.0,15.0,2.622,CC_NT,CC_NT_t1
9,15-20,CC,CT,1.44,1.28,15.0,20.0,2.432,CC_CT,CC_CT_t1
10,15-20,CC,MT,1.33,1.22,15.0,20.0,2.318,CC_MT,CC_MT_t1
11,15-20,CC,NT,1.41,1.21,15.0,20.0,2.299,CC_NT,CC_NT_t1
12,20-25,CC,CT,1.59,0.68,20.0,25.0,1.292,CC_CT,CC_CT_t1
13,20-25,CC,MT,1.49,0.66,20.0,25.0,1.254,CC_MT,CC_MT_t1
14,20-25,CC,NT,1.5,0.61,20.0,25.0,1.159,CC_NT,CC_NT_t1
15,25-30,CC,CT,1.63,0.41,25.0,30.0,0.7789999999999999,CC_CT,CC_CT_t1
16,25-30,CC,MT,1.53,0.42,25.0,30.0,0.7979999999999999,CC_MT,CC_MT_t1
17,25-30,CC,NT,1.55,0.42,25.0,30.0,0.7979999999999999,CC_NT,CC_NT_t1
18,30-35,CC,CT,1.62,0.35,30.0,35.0,0.6649999999999999,CC_CT,CC_CT_t1
19,30-35,CC,MT,1.55,0.35,30.0,35.0,0.6649999999999999,CC_MT,CC_MT_t1
20,30-35,CC,NT,1.56,0.38,30.0,35.0,0.722,CC_NT,CC_NT_t1
21,35-40,CC,CT,1.61,0.39,35.0,40.0,0.741,CC_CT,CC_CT_t1
22,35-40,CC,MT,1.65,0.34,35.0,40.0,0.646,CC_MT,CC_MT_t1
23,35-40,CC,NT,1.57,0.41,35.0,40.0,0.7789999999999999,CC_NT,CC_NT_t1
24,40-45,CC,CT,1.65,0.38,40.0,45.0,0.722,CC_CT,CC_CT_t1
25,40-45,CC,MT,1.52,0.36,40.0,45.0,0.6839999999999999,CC_MT,CC_MT_t1
26,40-45,CC,NT,1.56,0.37,40.0,45.0,0.703,CC_NT,CC_NT_t1
27,0-5,CS,CT,1.45,1.25,0.0,5.0,2.375,CS_CT,CS_CT_t1
28,0-5,CS,MT,1.26,1.25,0.0,5.0,2.375,CS_MT,CS_MT_t1
29,0-5,CS,NT,1.46,1.84,0.0,5.0,3.496,CS_NT,CS_NT_t1
30,5-10,CS,CT,1.24,1.28,5.0,10.0,2.432,CS_CT,CS_CT_t1
31,5-10,CS,MT,1.12,1.25,5.0,10.0,2.375,CS_MT,CS_MT_t1
32,5-10,CS,NT,1.32,1.55,5.0,10.0,2.945,CS_NT,CS_NT_t1
33,10-15,CS,CT,1.41,1.28,10.0,15.0,2.432,CS_CT,CS_CT_t1
34,10-15,CS,MT,1.31,1.24,10.0,15.0,2.356,CS_MT,CS_MT_t1
35,10-15,CS,NT,1.38,1.42,10.0,15.0,2.698,CS_NT,CS_NT_t1
36,15-20,CS,CT,1.49,0.99,15.0,20.0,1.881,CS_CT,CS_CT_t1
37,15-20,CS,MT,1.42,1.13,15.0,20.0,2.147,CS_MT,CS_MT_t1
38,15-20,CS,NT,1.43,1.01,15.0,20.0,1.919,CS_NT,CS_NT_t1
39,20-25,CS,CT,1.58,0.58,20.0,25.0,1.102,CS_CT,CS_CT_t1
40,20-25,CS,MT,1.57,0.71,20.0,25.0,1.349,CS_MT,CS_MT_t1
41,20-25,CS,NT,1.53,0.5,20.0,25.0,0.95,CS_NT,CS_NT_t1
42,25-30,CS,CT,1.66,0.36,25.0,30.0,0.6839999999999999,CS_CT,CS_CT_t1
43,25-30,CS,MT,1.66,0.4,25.0,30.0,0.76,CS_MT,CS_MT_t1
44,25-30,CS,NT,1.54,0.44,25.0,30.0,0.836,CS_NT,CS_NT_t1
45,30-35,CS,CT,1.67,0.28,30.0,35.0,0.532,CS_CT,CS_CT_t1
46,30-35,CS,MT,1.65,0.33,30.0,35.0,0.627,CS_MT,CS_MT_t1
47,30-35,CS,NT,1.53,0.35,30.0,35.0,0.6649999999999999,CS_NT,CS_NT_t1
48,35-40,CS,CT,1.65,0.28,35.0,40.0,0.532,CS_CT,CS_CT_t1
49,35-40,CS,MT,1.71,0.3,35.0,40.0,0.57,CS_MT,CS_MT_t1
50,35-40,CS,NT,1.6,0.32,35.0,40.0,0.608,CS_NT,CS_NT_t1
51,40-45,CS,CT,1.58,0.28,40.0,45.0,0.532,CS_CT,CS_CT_t1
52,40-45,CS,MT,1.7,0.3,40.0,45.0,0.57,CS_MT,CS_MT_t1
53,40-45,CS,NT,1.73,0.31,40.0,45.0,0.589,CS_NT,CS_NT_t1
54,0-5,COM,CT,1.38,1.66,0.0,5.0,3.154,COM_CT,COM_CT_t1
55,0-5,COM,MT,1.35,1.69,0.0,5.0,3.211,COM_MT,COM_MT_t1
56,0-5,COM,NT,1.37,2.3,0.0,5.0,4.369999999999999,COM_NT,COM_NT_t1
57,5-10,COM,CT,1.23,1.66,5.0,10.0,3.154,COM_CT,COM_CT_t1
58,5-10,COM,MT,1.2,1.67,5.0,10.0,3.173,COM_MT,COM_MT_t1
59,5-10,COM,NT,1.26,1.68,5.0,10.0,3.192,COM_NT,COM_NT_t1
60,10-15,COM,CT,1.37,1.6,10.0,15.0,3.04,COM_CT,COM_CT_t1
61,10-15,COM,MT,1.34,1.6,10.0,15.0,3.04,COM_MT,COM_MT_t1
62,10-15,COM,NT,1.36,1.44,10.0,15.0,2.736,COM_NT,COM_NT_t1
63,15-20,COM,CT,1.49,1.35,15.0,20.0,2.565,COM_CT,COM_CT_t1
64,15-20,COM,MT,1.45,1.42,15.0,20.0,2.698,COM_MT,COM_MT_t1
65,15-20,COM,NT,1.38,1.26,15.0,20.0,2.394,COM_NT,COM_NT_t1
66,20-25,COM,CT,1.55,0.7,20.0,25.0,1.3299999999999998,COM_CT,COM_CT_t1
67,20-25,COM,MT,1.59,0.7,20.0,25.0,1.3299999999999998,COM_MT,COM_MT_t1
68,20-25,COM,NT,1.49,0.63,20.0,25.0,1.1969999999999998,COM_NT,COM_NT_t1
69,25-30,COM,CT,1.59,0.44,25.0,30.0,0.836,COM_CT,COM_CT_t1
70,25-30,COM,MT,1.62,0.42,25.0,30.0,0.7979999999999999,COM_MT,COM_MT_t1
71,25-30,COM,NT,1.57,0.41,25.0,30.0,0.7789999999999999,COM_NT,COM_NT_t1
72,30-35,COM,CT,1.59,0.38,30.0,35.0,0.722,COM_CT,COM_CT_t1
73,30-35,COM,MT,1.64,0.39,30.0,35.0,0.741,COM_MT,COM_MT_t1
74,30-35,COM,NT,1.55,0.39,30.0,35.0,0.741,COM_NT,COM_NT_t1
75,35-40,COM,CT,1.74,0.34,35.0,40.0,0.646,COM_CT,COM_CT_t1
76,35-40,COM,MT,1.73,0.36,35.0,40.0,0.6839999999999999,COM_MT,COM_MT_t1
77,35-40,COM,NT,1.66,0.34,35.0,40.0,0.646,COM_NT,COM_NT_t1
78,40-45,COM,CT,1.71,0.33,40.0,45.0,0.627,COM_CT,COM_CT_t1
79,40-45,COM,MT,1.67,0.34,40.0,45.0,0.646,COM_MT,COM_MT_t1
80,40-45,COM,NT,1.68,0.36,40.0,45.0,0.6839999999999999,COM_NT,COM_NT_t1
